Codigo,Municipio,Homens,Mulheres,Ano,RI
150190,BUJARU,11282,12156,2022,Rio Capim
150190,BUJARU,10876,12049,2013,Rio Capim
150195,CACHOEIRA DO PIRIÁ,8188,7974,2013,Rio Caeté
150195,CACHOEIRA DO PIRIÁ,8587,8895,2022,Rio Caeté
150200,CACHOEIRA DO ARARI,7586,8703,2013,Marajó
150200,CACHOEIRA DO ARARI,8467,9715,2022,Marajó
150210,CAMETÁ,50926,54187,2022,Tocantins
150210,CAMETÁ,38169,46817,2013,Tocantins
150215,CANAÃ DOS CARAJÁS,14082,19076,2022,Carajás
150215,CANAÃ DOS CARAJÁS,8264,10508,2013,Carajás
150220,CAPANEMA,18059,22532,2022,Rio Caeté
150220,CAPANEMA,18607,21655,2013,Rio Caeté
150230,CAPITÃO POÇO,19483,21812,2022,Rio Capim
150230,CAPITÃO POÇO,18457,19801,2013,Rio Capim
150240,CASTANHAL,43427,59063,2013,Guamá
150240,CASTANHAL,46371,63483,2022,Guamá
150250,CHAVES,7974,7849,2013,Marajó
150250,CHAVES,8619,8805,2022,Marajó
150260,COLARES,3875,3960,2013,Guamá
150260,COLARES,4490,5070,2022,Guamá
150270,CONCEIÇÃO DO ARAGUAIA,13503,14986,2022,Araguaia
150270,CONCEIÇÃO DO ARAGUAIA,13882,15279,2013,Araguaia
150275,CONCÓRDIA DO PARÁ,10295,10738,2013,Rio Capim
150275,CONCÓRDIA DO PARÁ,11461,12696,2022,Rio Capim
150276,CUMARU DO NORTE,3301,3762,2022,Araguaia
150276,CUMARU DO NORTE,3045,3285,2013,Araguaia
150277,CURIONÓPOLIS,6590,8559,2022,Carajás
150277,CURIONÓPOLIS,7376,8606,2013,Carajás
150280,CURRALINHO,12725,12576,2013,Marajó
150280,CURRALINHO,14977,14433,2022,Marajó
150285,CURUÁ,5096,5539,2013,Baixo Amazonas
150285,CURUÁ,6393,6292,2022,Baixo Amazonas
150290,CURUÇÁ,12114,14867,2013,Guamá
150290,CURUÇÁ,14684,17281,2022,Guamá
150293,DOM ELISEU,11291,15225,2022,Rio Capim
150293,DOM ELISEU,11669,14501,2013,Rio Capim
150295,ELDORADO DO CARAJÁS,10562,11734,2022,Carajás
150295,ELDORADO DO CARAJÁS,9134,10292,2013,Carajás
150300,FARO,2899,3443,2013,Baixo Amazonas
150300,FARO,4253,4315,2022,Baixo Amazonas
150304,FLORESTA DO ARAGUAIA,6232,6584,2013,Araguaia
150304,FLORESTA DO ARAGUAIA,6667,7310,2022,Araguaia
150307,GARRAFÃO DO NORTE,9337,10488,2022,Rio Capim
150307,GARRAFÃO DO NORTE,10830,11731,2013,Rio Capim
150309,GOIANÉSIA DO PARÁ,9672,10811,2022,Lago Tucuruí
150309,GOIANÉSIA DO PARÁ,11153,12010,2013,Lago Tucuruí
150310,GURUPÁ,11787,11294,2013,Marajó
150310,GURUPÁ,15888,14835,2022,Marajó
150320,IGARAPÉ-AÇU,9361,13753,2013,Guamá
150320,IGARAPÉ-AÇU,12377,14908,2022,Guamá
150330,IGARAPÉ-MIRI,22448,25395,2013,Tocantins
150330,IGARAPÉ-MIRI,23236,26834,2022,Tocantins
150340,INHANGAPI,3471,3861,2013,Guamá
150340,INHANGAPI,3664,4259,2022,Guamá
150345,IPIXUNA DO PARÁ,10787,11942,2013,Rio Capim
150345,IPIXUNA DO PARÁ,12316,14489,2022,Rio Capim
150350,IRITUIA,12518,13514,2022,Rio Capim
150350,IRITUIA,11240,13099,2013,Rio Capim
150360,ITAITUBA,28968,37080,2013,Tapajós
150360,ITAITUBA,33466,42897,2022,Tapajós
150370,ITUPIRANGA,18339,19193,2013,Lago Tucuruí
150370,ITUPIRANGA,17048,19643,2022,Lago Tucuruí
150375,JACAREACANGA,5667,5906,2013,Tapajós
150375,JACAREACANGA,8444,8871,2022,Tapajós
150380,JACUNDÁ,12300,16509,2022,Lago Tucuruí
150380,JACUNDÁ,12697,16453,2013,Lago Tucuruí
150390,JURUTI,16496,16909,2022,Baixo Amazonas
150390,JURUTI,17310,17448,2013,Baixo Amazonas
150400,LIMOEIRO DO AJURU,11364,10877,2013,Tocantins
150400,LIMOEIRO DO AJURU,12744,12457,2022,Tocantins
150405,MÃE DO RIO,10793,14402,2022,Rio Capim
150405,MÃE DO RIO,11204,14379,2013,Rio Capim
150410,MAGALHÃES BARATA,3273,3259,2013,Guamá
150410,MAGALHÃES BARATA,3154,3288,2022,Guamá
150420,MARABÁ,60993,78931,2022,Carajás
150420,MARABÁ,53314,65121,2013,Carajás
150430,MARACANÃ,12218,13411,2022,Guamá
150430,MARACANÃ,12007,12194,2013,Guamá
150440,MARAPANIM,8926,9695,2013,Guamá
150440,MARAPANIM,9368,10306,2022,Guamá
150442,MARITUBA,31595,46225,2022,Guajará
150442,MARITUBA,25696,36372,2013,Guajará
150445,MEDICILÂNDIA,9015,9081,2013,Xingu
150445,MEDICILÂNDIA,11705,11583,2022,Xingu
150450,MELGAÇO,12166,11547,2022,Marajó
150450,MELGAÇO,9991,10086,2013,Marajó
150460,MOCAJUBA,14045,15224,2022,Tocantins
150460,MOCAJUBA,11994,12930,2013,Tocantins
150470,MOJU,23152,29292,2013,Tocantins
150470,MOJU,27913,32902,2022,Tocantins
150475,MOJUÍ DOS CAMPOS,404,425,2013,Baixo Amazonas
150475,MOJUÍ DOS CAMPOS,8926,9660,2022,Baixo Amazonas
150480,MONTE ALEGRE,22282,24878,2022,Baixo Amazonas
150480,MONTE ALEGRE,22347,25614,2013,Baixo Amazonas
150490,MUANÁ,15409,15710,2022,Marajó
150490,MUANÁ,12201,12644,2013,Marajó
150495,NOVA ESPERANÇA DO PIRIÁ,8334,8634,2013,Rio Capim
150495,NOVA ESPERANÇA DO PIRIÁ,9401,9420,2022,Rio Capim
150497,NOVA IPIXUNA,5657,5798,2013,Lago Tucuruí
150497,NOVA IPIXUNA,4522,4945,2022,Lago Tucuruí
150500,NOVA TIMBOTEUA,4179,4854,2022,Rio Caeté
150500,NOVA TIMBOTEUA,4093,4478,2013,Rio Caeté
150503,NOVO PROGRESSO,7586,9057,2022,Tapajós
150503,NOVO PROGRESSO,5453,6494,2013,Tapajós
150506,NOVO REPARTIMENTO,18892,21907,2022,Lago Tucuruí
150506,NOVO REPARTIMENTO,21036,22906,2013,Lago Tucuruí
150510,ÓBIDOS,19924,21121,2022,Baixo Amazonas
150510,ÓBIDOS,18751,19209,2013,Baixo Amazonas
150520,OEIRAS DO PARÁ,15560,15251,2022,Tocantins
150520,OEIRAS DO PARÁ,12441,12574,2013,Tocantins
150530,ORIXIMINÁ,18672,22424,2013,Baixo Amazonas
150530,ORIXIMINÁ,20694,25121,2022,Baixo Amazonas
150540,OURÉM,6831,7912,2022,Rio Capim
150540,OURÉM,6839,7494,2013,Rio Capim
150543,OURILÂNDIA DO NORTE,6810,8721,2013,Araguaia
150543,OURILÂNDIA DO NORTE,10286,12495,2022,Araguaia
150548,PACAJÁ,12271,14177,2013,Xingu
150548,PACAJÁ,16963,17792,2022,Xingu
150549,PALESTINA DO PARÁ,2816,3204,2022,Carajás
150549,PALESTINA DO PARÁ,3351,3635,2013,Carajás
150550,PARAGOMINAS,29760,37301,2013,Rio Capim
150550,PARAGOMINAS,29390,37725,2022,Rio Capim
150553,PARAUAPEBAS,51664,68340,2022,Carajás
150553,PARAUAPEBAS,36414,43019,2013,Carajás
150555,PAU DARCO,2587,2696,2013,Araguaia
150555,PAU DARCO,2810,3151,2022,Araguaia
150560,PEIXE-BOI,3142,3343,2013,Rio Caeté
150560,PEIXE-BOI,2958,3056,2022,Rio Caeté
150563,PIÇARRA,4469,5030,2013,Carajás
150563,PIÇARRA,4071,4625,2022,Carajás
150565,PLACAS,6036,6092,2013,Xingu
150565,PLACAS,7843,7842,2022,Xingu
150570,PONTA DE PEDRAS,9844,10147,2013,Marajó
150570,PONTA DE PEDRAS,11311,11830,2022,Marajó
150580,PORTEL,18069,20263,2013,Marajó
150580,PORTEL,22800,24689,2022,Marajó
150590,PORTO DE MOZ,10330,11367,2013,Xingu
150590,PORTO DE MOZ,15129,14937,2022,Xingu
150600,PRAINHA,17284,16884,2022,Baixo Amazonas
150600,PRAINHA,14652,14832,2013,Baixo Amazonas
150610,PRIMAVERA,4284,4847,2022,Rio Caeté
150610,PRIMAVERA,4175,4305,2013,Rio Caeté
150611,QUATIPURU,4587,5089,2022,Rio Caeté
150611,QUATIPURU,4819,4845,2013,Rio Caeté
150613,REDENÇÃO,15139,20115,2013,Araguaia
150613,REDENÇÃO,20079,25547,2022,Araguaia
150616,RIO MARIA,3896,4931,2013,Araguaia
150616,RIO MARIA,5606,6315,2022,Araguaia
150618,RONDON DO PARÁ,10235,12463,2022,Rio Capim
150618,RONDON DO PARÁ,11946,14257,2013,Rio Capim
150619,RURÓPOLIS,8781,9282,2013,Tapajós
150619,RURÓPOLIS,9815,10934,2022,Tapajós
150620,SALINÓPOLIS,11934,14763,2022,Rio Caeté
150620,SALINÓPOLIS,10237,11808,2013,Rio Caeté
150630,SALVATERRA,7521,9161,2013,Marajó
150630,SALVATERRA,8448,10263,2022,Marajó
150635,SANTA BÁRBARA DO PARÁ,7075,9069,2022,Guajará
150635,SANTA BÁRBARA DO PARÁ,6862,7860,2013,Guajará
150640,SANTA CRUZ DO ARARI,3208,3619,2022,Marajó
150640,SANTA CRUZ DO ARARI,2060,2518,2013,Marajó
150650,SANTA IZABEL DO PARÁ,16197,21111,2013,Guamá
150650,SANTA IZABEL DO PARÁ,14751,21475,2022,Guamá
150655,SANTA LUZIA DO PARÁ,8552,9239,2013,Rio Caeté
150655,SANTA LUZIA DO PARÁ,7789,9347,2022,Rio Caeté
150658,SANTA MARIA DAS BARREIRAS,6616,6832,2013,Araguaia
150658,SANTA MARIA DAS BARREIRAS,7266,7304,2022,Araguaia
150660,SANTA MARIA DO PARÁ,8307,9576,2013,Guamá
150660,SANTA MARIA DO PARÁ,8010,9655,2022,Guamá
150670,SANTANA DO ARAGUAIA,10604,13706,2022,Araguaia
150670,SANTANA DO ARAGUAIA,8108,9904,2013,Araguaia
150680,SANTARÉM,109617,132076,2022,Baixo Amazonas
150680,SANTARÉM,93058,105858,2013,Baixo Amazonas
150690,SANTARÉM NOVO,3028,2929,2013,Rio Caeté
150690,SANTARÉM NOVO,3534,3516,2022,Rio Caeté
150700,SANTO ANTÔNIO DO TAUÁ,8051,10194,2013,Guamá
150700,SANTO ANTÔNIO DO TAUÁ,9340,11934,2022,Guamá
150710,SÃO CAETANO DE ODIVELAS,6571,6843,2022,Guamá
150710,SÃO CAETANO DE ODIVELAS,6106,7025,2013,Guamá
150715,SÃO DOMINGOS DO ARAGUAIA,7498,8779,2013,Carajás
150715,SÃO DOMINGOS DO ARAGUAIA,7252,8912,2022,Carajás
150720,SÃO DOMINGOS DO CAPIM,13138,12948,2022,Guamá
150720,SÃO DOMINGOS DO CAPIM,13362,13087,2013,Guamá
150730,SÃO FÉLIX DO XINGU,14465,16816,2013,Araguaia
150730,SÃO FÉLIX DO XINGU,20537,23350,2022,Araguaia
150740,SÃO FRANCISCO DO PARÁ,5587,6575,2022,Guamá
150740,SÃO FRANCISCO DO PARÁ,5668,6126,2013,Guamá
150745,SÃO GERALDO DO ARAGUAIA,8499,10251,2013,Carajás
150745,SÃO GERALDO DO ARAGUAIA,7397,9593,2022,Carajás
150746,SÃO JOÃO DA PONTA,2294,2331,2013,Guamá
150746,SÃO JOÃO DA PONTA,2763,2709,2022,Guamá
150747,SÃO JOÃO DE PIRABAS,7804,8831,2022,Rio Caeté
150747,SÃO JOÃO DE PIRABAS,7775,8628,2013,Rio Caeté
150750,SÃO JOÃO DO ARAGUAIA,4378,4836,2013,Carajás
150750,SÃO JOÃO DO ARAGUAIA,6013,6474,2022,Carajás
150760,SÃO MIGUEL DO GUAMÁ,15893,21020,2013,Guamá
150760,SÃO MIGUEL DO GUAMÁ,15915,21434,2022,Guamá
150770,SÃO SEBASTIÃO DA BOA VISTA,10578,10559,2013,Marajó
150770,SÃO SEBASTIÃO DA BOA VISTA,12949,12844,2022,Marajó
150775,SAPUCAIA,1718,1885,2013,Araguaia
150775,SAPUCAIA,1472,1987,2022,Araguaia
150780,SENADOR JOSÉ PORFÍRIO,7656,8407,2022,Xingu
150780,SENADOR JOSÉ PORFÍRIO,4614,5598,2013,Xingu
150790,SOURE,6700,9202,2013,Marajó
150790,SOURE,7500,10496,2022,Marajó
150795,TAILÂNDIA,19884,26605,2013,Tocantins
150795,TAILÂNDIA,22629,29978,2022,Tocantins
150796,TERRA ALTA,4863,5597,2022,Guamá
150796,TERRA ALTA,3819,4820,2013,Guamá
150797,TERRA SANTA,6715,7624,2022,Baixo Amazonas
150797,TERRA SANTA,5608,7005,2013,Baixo Amazonas
150800,TOMÉ-AÇU,21058,26068,2013,Rio Capim
150800,TOMÉ-AÇU,21344,27249,2022,Rio Capim
150803,TRACUATEUA,12091,12940,2022,Rio Caeté
150803,TRACUATEUA,12068,12505,2013,Rio Caeté
150805,TRAIRÃO,4550,4944,2013,Tapajós
150805,TRAIRÃO,5809,6260,2022,Tapajós
150808,TUCUMÃ,9456,10778,2013,Araguaia
150808,TUCUMÃ,10178,11596,2022,Araguaia
150810,TUCURUÍ,25557,34598,2022,Lago Tucuruí
150810,TUCURUÍ,26552,34759,2013,Lago Tucuruí
150812,ULIANÓPOLIS,8241,10410,2022,Rio Capim
150812,ULIANÓPOLIS,7133,9275,2013,Rio Capim
150815,URUARÁ,12788,15048,2013,Xingu
150815,URUARÁ,14671,16360,2022,Xingu
150820,VIGIA,13152,17913,2013,Guamá
150820,VIGIA,17571,20882,2022,Guamá
150830,VISEU,23501,24334,2013,Rio Caeté
150830,VISEU,22674,23329,2022,Rio Caeté
150835,VITÓRIA DO XINGU,3547,3700,2013,Xingu
150835,VITÓRIA DO XINGU,5339,6195,2022,Xingu
150840,XINGUARA,11446,14885,2022,Araguaia
150840,XINGUARA,9464,11893,2013,Araguaia
